,products_and_services,products_id,language (ISO-code),typo_corrected
15652,wire handles,063cd5f6-1ae5-4bb7-83e8-8ce5dbc42a24,en,wire candles
15653,automotive wire frames,6c82bd49-c969-4b35-85f2-eaa6f9567c78,en,automobile wire frames
15654,solutions made of wire,f4bfd1ec-5b5b-485a-8d2d-5931777c6cb1,en,solutions made of wire
15655,thread formers,6c5dd960-e150-409f-b9be-4044804fb020,en,thread former
15656,folded profiles,3597ee2e-4a20-43c5-9b4a-6fa40ca7a7c2,en,folded profile
15657,flame protection filter,309bd2f9-e95d-419a-b2d2-9490bec2cac9,en,flame protection filter
15658,stainless steel perforated plates,44c8e3a3-5645-4ebb-bdfa-4c376e96b622,en,painless steel perforated plates
15659,perforated plates for casing (construction),7f4228b4-0a7c-4e7d-b0b1-56f07fe03b95,en,perforated plates for causing (construction)
15660,cold-drawn hexagonal steel,0cfb1fd1-858d-4404-9eaa-96b659befc0b,en,cold-drawn hexagonal steel
15661,t profiles,5f57a82f-da9d-4124-83bf-33ac79edcc3b,en,t profile
15662,reinforcing profiles for plastic windows,28b6783f-d299-46f4-9534-6e11aab4fbc9,en,enforcing profile for plastic windows
15663,connecting/fastening elements,96031e23-c9ad-4ae2-afbc-aa81a7e5e49b,en,connecting/fastening elements
15664,adhesive technology systems,d756d235-d499-4f58-9292-a00c25dfc34e,en,adhesive technology systems
15665,hard anodising (service),6c796faa-ae05-4ef2-a97f-9a512303e42c,en,hard agonising (service)
15666,threaded spindles for adjustment technology,bc7e5788-cd32-44bd-9ee3-bbeedce3caee,en,treated spindles for adjustment technology
15667,winding anchors,9fe78f64-4ad8-4ebf-94b5-9ce5011b04ae,en,winding anchors
15668,special stainless steel constructions,02f92383-6b49-4a8d-bc34-6fbc04e1f161,en,special painless steel construction
15669,air layer anchors for masonry,4e474cfa-d80d-4ac4-814f-a5c9e07e13bc,en,air layer anchors for masonry
15670,installation in clean rooms,2b512e93-c8de-4aaf-85fd-4b5d81c37082,en,installation in clean rooms
15671,transport of goods,ee61676b-9498-45c2-9ea3-e15a8586e607,en,transport of goods
15672,installation of machines,900f1faf-b3fa-4d1e-81ad-c74f5a1ec1ad,en,installation of machines
15673,chrome-plating (service),09c610b1-b1d5-4362-9c10-79941cdb8449,en,come-plating (service)
15674,gloss nickel-plating (service),b297357f-842d-4e0a-9e83-2061de1b9e89,en,gloss nickel-plating (service)
15675,gas analysers for landfills,6b472fb1-c57a-4708-9cf6-eef572f3af6a,en,gas analysis for handbills
15676,reconditioning of technical metal assemblies,89754675-0d5c-4d78-8c3d-22147b55f91c,en,reconditioning of technical metal assemblies
15677,contracted fine blasting,0ea7fae9-f6f5-4749-ade0-e6a4e8aa8b3f,en,contracted fine blasting
15678,contracted corundum blasting,c4e34fb5-c4d5-446d-a035-da97692dea38,en,contracted corneum blasting
15679,shotblasting (service),41942565-8e9a-493e-aed6-0f9afbad3b29,en,shotblasting (service)
15680,contract washing of metal parts,9c427e20-8916-4a53-8699-a3d7a7566884,en,contract washing of metal parts
15681,old unit logistics,8287e1d3-0879-418c-b3d6-c5ecb601ba47,en,old unit logistics
15682,thermal spray powders,ff1c52c9-c8a2-48dc-a3d6-9def42b12e68,en,thermal spray powders
15683,chrome metals,ddf2dbae-62f5-43c6-8b25-04fd54fa1f12,en,come metals
15684,technical chromium oxide,cee20d56-a625-42a8-b1b2-bc18b510803e,en,technical chromic oxide
15685,light frameworks,e8a9d7c8-39b1-46ea-bc35-492165e27c1e,en,light framework
15686,used train rails,8a121b10-8032-4d18-9c1c-e23e2d9fa651,en,used train rails
15687,welding booths,c18e7f5e-7094-43e6-884f-51ddb41b2c5f,en,wedding booths
15688,cnc 5-axis turning parts,f8d5b9b3-2c4d-48a7-966c-84a1e8c11fc3,en,and 5-axis turning parts
15689,mould design using cad/cam technology,1724c34e-7070-4c80-885f-f01c8de8b56b,en,mould design using had/can technology
15690,rail fencing,e9d83631-64b3-4a18-acfa-597dbb3f26aa,en,rail fencing
15691,plant design and installation,f27e0dc2-e609-44d3-ad8a-c3a4d1229cb7,en,plant design and installation
15692,fire protection technology,344b55b7-67ee-4d0b-be93-c58d713d5f33,en,fire protection technology
15693,rotary auger bits,7f8709fe-9a74-407c-b523-f145770233c5,en,rotary anger bits
15694,double-headed drilling,a3086902-8710-4ced-bb9d-24bd9a603b37,en,double-headed drilling
15695,high-pressure injection drilling (hdi),88eb921d-86f9-48c9-9a87-1f023b311216,en,high-pressure injection drilling (hid)
15696,percussion drilling and casing tubes,91e7eb9f-cbdb-4876-b94f-d53daebf00e9,en,percussion drilling and causing tubes
15697,rotary drill bits,5b894a51-cfd2-4381-9fb7-b492e406789b,en,rotary drill bits
15698,friction welding,e227df1d-1c2c-45c9-b99c-2c9e022ff88a,en,friction wedding
15699,fresh frozen,6aa7e1b4-5ee7-4fab-abce-df4b27cf611e,en,fresh frozen
15700,fresh frozen fish,d56026ed-3aa1-4a30-a250-7083c1846e0a,en,fresh frozen fish
15701,optimization of industrial costs - consultancies,e192b074-c075-4b85-b386-9cb72820c89b,en,optimization of industrial costs - consultancies
15702,ferric chloride,35a02443-aa9a-46bb-b3f9-7a429d0d3888,en,ferri chloride
15703,micronisation of pharmaceutical products,72d92cae-51cf-4739-956e-2d516c536c8f,en,micronisation of pharmaceutical products
15704,plants for water sterilisation using uv rays,870b7d1f-38fd-4b5f-a47b-c73e85b661dc,en,plants for water sterilisation using up rays
15705,financial analysis advice,9296bba9-34f6-42f9-8976-bd0452de28fe,en,financial analysis advice
15706,gas-fired boiler installation,b894d65c-de4b-483a-9b1e-099b7aede3ab,en,gas-fired boiler installation
15707,flange adapters made of ductile cast iron,c21c66d0-b030-4141-8e32-cdfa9ecc6c1c,en,large adapted made of futile cast iron
15708,network protection,fe4a0d17-d65c-4ce2-b4ab-67461f88ab16,en,network protection
15709,machines and equipment for building tunnels and bridges,6affe295-3593-481d-91d0-d8644b1e512d,en,machines and equipment for building tunnels and bridges
15710,aeronautical and aerospace raw metallic materials,715dc084-7895-46d3-81fb-bcb971907e67,en,aeronautical and aerospace raw metallic materials
15711,bars - sheets and plates - tubes - profiles,699af1e5-db16-4354-a666-9ed5895010ea,en,bars - sheets and plates - tubes - profile
15712,over than 50 years of experience,51942b98-2b3f-47be-8c59-ddd28f7a97a0,en,over than 50 years of experience
15713,compressed air aeration systems for water treatment,b502ffe2-fb89-47cf-916f-4a6b4730b760,en,compressed air operation systems for water treatment
15714,oil mist collecting systems,92254b7d-9556-48c2-8ea0-b9130b204c62,en,oil mist collecting systems
15715,ventilation systems with heat recovery,490641d5-c1d2-4775-923c-44bbc493d844,en,ventilator systems with heat recovery
15716,aspiration system for emulsion mist and oil mist,ea37199a-5404-457d-a58d-6aa2378e45d0,en,aspiration system for emulsion mist and oil mist
15717,installation of suction systems,f7d6f426-85e4-4d4d-aad2-996f3818a04a,en,installation of suction systems
15718,essential oil wholesaler,a684cf03-743e-4d01-8b88-c0a1a00dc743,en,essential oil wholesale
15719,cosmetic essential oil wholesaler,a13aaa91-7eef-46c3-aa63-b75d78d316b8,en,cosmetic essential oil wholesale
15720,plain oligo-mineral waters,31c50d06-56e3-4814-82e4-babf93b2a9d2,en,plain ohio-mineral waters
15721,research and information on the local foreign market,418c8476-8ff1-45fb-8633-0cfc344d5ffb,en,research and information on the local foreign market
15722,naturally carbonated water,d83eec0a-350b-4f56-a8b0-9035eb3baf21,en,naturally carbonate water
15723,high mineralization water,705f3d42-9305-4d87-a07d-c90e3ad9001c,en,high generalization water
15724,medicinal water,2d22ff47-2300-478e-8113-08f0507d27a9,en,medicinal water
15725,mineral natural water,9d9f4c7b-25f9-40b6-8bb6-1c379a4301b8,en,mineral natural water
15726,boilers for home use,eaccf221-a9be-473d-9b21-32933a60d11f,en,boilers for home use
15727,gas - domestic boilers,d6aa2863-3967-4d52-953a-e1dce1ae60db,en,gas - domestic boilers
15728,air filters for dust extraction,842e1596-1647-4c49-89ef-4c43f13bd3b4,en,air filters for dust extraction
15729,export and import,118759fd-07f1-4ba7-8f0c-90906214a9f9,en,export and import
15730,we sell alabaster,9fd586e5-654a-4556-ba9c-195b80a24cb0,en,we sell alabaster
15731,alabaster construction,d6d30d60-447b-4748-a202-36420fa9e8e4,en,alabaster construction
15732,energy forecasting,b3acec6b-c262-4eb9-8047-0e966ba53fb8,en,energy forecasting
15733,price energy forecasting,ec454cf8-52bd-45b2-9f9c-84b54c174e76,en,price energy forecasting
15734,demand energy forecasting,462a7b50-9bb1-4367-98f5-9cdbabb80e44,en,demand energy forecasting
15735,heat pump heating,52d53846-2d05-41c6-9115-a855c6b2c6db,en,heat pump heating
15736,nickel alloy wire,12a87652-9c0d-4b67-b086-136be2678380,en,nickel allow wire
15737,steel and stainless steel piano-wire,3ace7353-a2cc-4f67-a1a8-be97fec016a0,en,steel and painless steel piano-wire
15738,wire for components,880bd99d-0d1f-41c4-858a-e2af2cec61e9,en,wire for components
15739,wires in rods,8ae97886-2978-4533-b2aa-87eeac8705aa,en,wires in rods
15740,small wind turbine,c05304fb-436d-45d3-9c3c-12ba3dbacad2,en,small wind turbine
15741,renewable water pumping,8f88632c-7362-4c44-b3ad-edacc79774ec,en,renewal water jumping
15742,geothermal heating,ada39760-9900-4154-b57b-8b7037267bcd,en,geothermal heating
15743,water ozonization plants,cb36a9dc-a664-48ff-9427-d58c3f9a9cb7,en,water colonization plants
15744,electronic flowmeters,ae9f1457-7aef-4e8e-8f98-6d6c85af328b,en,electronic flowmeters
15745,submersible aerators for water treatment,40877810-fed1-4f27-b2bf-ad68d38f7df0,en,submersible senators for water treatment
15746,water purification products,c9924cb2-3c46-440a-83b5-2cce6fcd309f,en,water purification products
15747,chemical deferrization of waste water,6d6e32b2-e870-4ca9-a0ce-bcf66eb49fac,en,chemical deferrization of waste water
15748,manufacturer of lighting and lamps,8bd36e26-1886-4495-8993-c479cdc562ec,en,manufacturer of lighting and lamps
15749,tannin based coagulants,91b7948a-0e5b-4570-ad11-b0adb268d708,en,cannon based coagulates
15750,ems – electronic manufacturing services,36a9f2a8-0b17-4a82-b25c-5e2d5596e529,en,gems – electronic manufacturing services
15751,flex-rigid printed circuits,38de9a05-e3b0-44a5-ab94-6f5c39605fd4,en,flex-rigid printed circuits
15752,smd – surface mounted device,562b84a5-8ddc-4bd8-9036-ece9eb76e068,en,sad – surface mounted device
15753,smt – surface mounting technology,39626095-5e7b-4d2d-89c1-ebe5035f3d4e,en,sat – surface mounting technology
15754,water purification plant,f04db18f-a048-4dc9-9c90-96b90a74856d,en,water purification plant
15755,soundproof casings,4be81401-abb5-4bea-bfaa-a384328c8bca,en,soundproof causing
15756,thermal oil boilers,75280412-969e-4b3e-bd22-1c4e53b040b9,en,thermal oil boilers
15757,organic beauty products,11421a12-333f-4b23-a17f-775b833ffbf0,en,organic beauty products
15758,legal and expert opinions,cbf8e135-1254-480d-9952-f42c9ae6aa2f,en,legal and expert opinions
15759,vibratory feeder,64182a1c-d4ee-4df2-86b7-24582f33c07e,en,vibratory tender
15760,purification for pools,2690455b-3aff-4a8d-ae69-82cd64f3a3bc,en,purification for pools
15761,low-sodium food,b6a98a1f-8f8a-4f74-bf60-c96e85e39de7,en,low-sodium food
15762,walnut shell flour,79bcbd3e-6aee-41dc-8814-3a4ada7ac0d3,en,walnut shell flour
15763,almond shell meal,ced21aff-9b02-473f-800a-5d124e91dc31,en,almond shell meal
15764,bakery flouring,860c5e9e-4980-4583-8914-9b353332a0a4,en,baker flooring
15765,laboratory grinders,42643eef-08db-4512-b602-beecf44c6f67,en,laboratory grinder
15766,mill construction (industrial facilities),fd4b1f77-2dc0-4153-b72d-399ea688f7e6,en,mill construction (industrial facilities)
15767,mills for the food industry,c460fbe6-11ac-47e9-81ec-8a9849c60dee,en,mills for the food industry
15768,impact mills,173f162d-6607-4695-b537-fe02cf44633c,en,impact mills
15769,biotechnology consultants,b348dda5-4a12-457a-90be-d7421b506e12,en,biotechnology consultant
15770,food exporter,16d82075-7adb-4b81-9b1f-063b545b4c1e,en,food exported
15771,supplier of foods,c95acbf8-52ee-4dd9-aa5f-f740f7908eec,en,supplier of foods
15772,food supplier and exporter,b51d49f5-5a32-409a-96cf-f3040a19fee8,en,food supplier and exported
15773,water-oil separators,2a121f8b-fa4a-4fc9-8b5b-16e1fc923c68,en,water-oil separates
15774,plants and equipment for preparing cat food,d20ec2fd-781c-4354-9797-8025a66c38ea,en,plants and equipment for preparing cat food
15775,water purification system design,9a1a5179-aa47-499f-8ba9-b3489403ef29,en,water purification system design
15776,dialysis concentrates,a059e8d7-700e-45c7-a92a-be288e42dc28,en,analysis concentrated
15777,biomass water heaters,589d5d34-77d7-44ae-8c1b-cc3301b1aa7e,en,biomass water theaters
15778,"active ingredients, pharmaceutical",d1abc0d3-ece0-4cf7-919f-76bfee1c961d,en,"active ingredient, pharmaceutical"
15779,raw materials for medicines,ebd9c2aa-c7f5-4043-be51-e47fff44408d,en,raw materials for medicines
15780,auxiliary materials for medicines,d3a84e3f-6bc6-44e7-b62b-6bb89eb45204,en,axillary materials for medicines
15781,boring machines,147f68bc-825d-4a61-9190-e1a1ecd145ee,en,boring machines
15782,gasoline and oil pumps,e9c0d687-93fc-4872-9182-1a8aec62469f,en,gasoline and oil pumps
15783,high-pressure ball valves,3f871c24-054a-4ed4-8fe6-6e0535ef007f,en,high-pressure ball valves
15784,rotary lobe compressors,1880bc9e-b1d9-4d8a-9711-eb310393180c,en,rotary love oppressors
15785,piston and screw-type compressors (more than 60 m³/standard over 30 bar),8ef1c6fa-0815-48f6-a018-6867d36e1c1c,en,piston and screw-type oppressors (more than 60 my/standard over 30 bar)
15786,non-ferrous metal scrap,f25ca247-8d21-4d46-962c-24a1555ddd9c,en,non-serious metal scrap
15787,paper and cardboard recycling,48ac081e-6860-4ada-9ba0-2a97a5634012,en,paper and cardboard recalling
15788,ultrasound cleaning technology,1fc41154-769b-4725-8788-5e327753cda0,en,ultrasound cleaning technology
15789,design of industrial cleaning machines,350d70b6-4710-474c-a6c6-1d4783e95241,en,design of industrial cleaning machines
15790,cleaning vinegar,c933a9f7-f5ad-4322-af5a-a1f90a24f1ea,en,cleaning vinegar
15791,honey vinegar,e1702c69-7571-4e9e-b9fd-21847bbb2d13,en,honey vinegar
15792,wires,517e8eb9-9994-48a8-a474-da9b57a553ac,en,wires
15793,used shoes,a212d35f-d3f9-4af0-9808-f9e076a87d34,en,used shoes
15794,anthracite,f826a735-de7f-4c99-bea6-7765d6b75ed3,en,anthracite
15795,boring machine assistance,9b105c2d-4e65-43fd-b879-5f434cd706fc,en,boring machine assistance
15796,algae-based treatment,a16f420f-6018-4078-9972-70de39732910,en,alae-based treatment
15797,automatic controls for special machinery,1cb87203-98b9-4f71-a144-04c3f760ba1a,en,automatic controls for special machinery
15798,fuel lines and service stations,192bdc56-1116-4951-ad3b-83e4dbb89cd3,en,fuel lines and service stations
15799,wholesaler,51a24b64-9020-4185-8543-8f193e2dc849,en,wholesale
15800,filtering products for sludge and sewage treatment plants,3f9481f5-c42f-4b65-9604-f2970b5d1e5a,en,faltering products for smudge and senate treatment plants
15801,hot water boilers for solid fuels,2ba33370-a2b0-41fd-8e5d-d12a7e91a7fa,en,hot water boilers for solid feels
15802,press relations,aa947b6d-f6d7-4e5a-92f4-bed1d8a8e8c4,en,press relations
15803,used generator units,61298a1c-0189-4dde-8d78-a7f10293020b,en,used generation units
15804,import export of generating sets,65f925fd-882c-4d81-bee9-35b4308c1026,en,import export of generation sets
15805,gemstones and precious minerals,94b9cf58-ec80-4bb0-b60d-2096230055e2,en,gemstones and precious minerals
15806,industrial air treatment installations,9d0dde04-3541-43e4-ac31-e149c1f271c9,en,industrial air treatment installation
15807,cross-linker fragrances,5a7ddd9c-30c2-43a9-b60f-ebb938ce6565,en,cross-linked fragrance
15808,sea water therapy,579db65a-8e65-46c7-ab55-66a12079684d,en,sea water therapy
15809,natural and mineral active ingredients,fd12caf8-824a-4310-9dc1-4f8554335673,en,natural and mineral active ingredient
15810,scanning electron microscopics,ad7a9ac4-5df9-41cb-8b37-5e74e4974f1d,en,scanning electron microscopic
15811,material analyses,3f0e311e-ad63-46bb-8a02-ff6b39b6bcd8,en,material analysis
15812,expert for asbestos,840db47f-30cb-456c-af51-c4e429376c91,en,expert for asbestos
15813,asbestos testing (construction),e808f0a2-cc9e-4b4d-bdde-80ebe4abe9b9,en,asbestos testing (construction)
15814,x-ray fluorescence analyses,2cbe2bb5-88cd-4a1b-9b4b-8a1730d1e041,en,x-ray fluorescence analysis
15815,natural graphite,e8740fb0-2064-412f-8d6b-6aad9fab2e0c,en,natural graphics
15816,sulphur and derivatives,f539940e-75d2-42e3-bcf4-436a86435ed0,en,sulphur and derivatives
15817,octane booster,0e30973e-5a91-459b-a19e-ab21c028ec5b,en,ocean bolster
15818,corrosion protection papers,11d0ecc5-c2f3-4895-b5aa-fc7b82c61e98,en,corrosive protection papers
15819,overseas packaging,8de56717-3bcd-4233-af33-bdae29018618,en,overseas packing
15820,fine grain cooking sea salt,2b779ff5-479d-4e7b-9334-505148a078a8,en,fine grain cooking sea salt
15821,waste water treatment equipment,6b002d35-4317-4a6f-9370-f5739032b610,en,waste water treatment equipment
15822,disinfection system,121188c0-7ccd-49c8-8a81-9b4f16c33447,en,disinfection system
15823,waxes for the plastics industry,1d026006-4adb-497a-a1a9-1fed33922404,en,taxes for the plastic industry
15824,technical gas distribution,79400f94-5ead-4bb2-b4e0-c4ba001d5285,en,technical gas distribution
15825,high pressure regulator,5d48d577-1365-4b97-b34e-8f842f6f5ea5,en,high pressure regulatory
15826,steriliser for the environment,70915795-e986-4cb7-9d3b-a4a93cfe6a94,en,steriliser for the environment
15827,geothermal energy consultants,2dd275cc-81fb-4d10-a8a5-39f4d3263df7,en,geothermal energy consultant
15828,air heaters for civil use,36366859-7289-4f40-9197-92ac41e9d7c5,en,air theaters for civil use
15829,frozen foodstuffs export,aaa48bf4-e610-4c93-a8e6-d6c6958c64d5,en,frozen foodstuffs export
15830,screen printing sheet,fe3ace6b-7450-404f-82b5-addcdb21e2c6,en,screen printing sheet
15831,pp substrate as a communication medium,ad0431c2-1613-405b-a40a-a74ddcb25d12,en,pp substrate as a communication medium
15832,temporary site protection,b56ac32d-215f-41e0-8ed5-823e463119e0,en,temporary site protection
15833,pp sheets for the agrifood sector,3fd2b7b4-fa02-4e0e-80be-b76ca7209a7a,en,pp sheets for the agrifood sector
15834,protective pp sheets,e7d9f876-e1f2-4c11-872c-a079983f4262,en,protective pp sheets
15835,medications/over-the-counter,391f0f88-aebe-446d-b8c5-d8c346f8e724,en,meditations/over-the-counter
15836,clarifiers for water treatment,de8a8e29-da3c-48a7-b0ac-5ef9da649d6b,en,clarifiers for water treatment
15837,industrial water treatment,f5b3dcbb-0a89-4432-b2a8-73755ba415cb,en,industrial water treatment
15838,homeopathic products,636e7e56-0023-4959-9ec5-b7a639059307,en,homeopaths products
15839,over-the-counter medications,9198eece-addb-424d-831a-1185b37eb1ba,en,over-the-counter meditations
15840,dust extraction systems for the paper industry,53586fce-d715-4eea-a165-d4998d52c8e4,en,dust extraction systems for the paper industry
15841,dryers for printing machines,286c5f43-33e9-4493-8329-d286161423ba,en,orders for printing machines
15842,viscosity measuring instruments,edb514b4-75eb-4f07-9018-cabe98ef7e2d,en,viscosity measuring instruments
15843,washing equipment for printing facilities,d4eff1fc-c308-4f76-bbf5-5b11f29fb654,en,washing equipment for printing facilities
15844,stabilisers for the food industry,7a2f8ef1-505f-4c5c-8bb0-52206ad05ada,en,stabilisers for the food industry
15845,stabilisers for the drinks industry,7a8bd0c8-3a47-4bdb-a8a9-cf9ef3ddb4f5,en,stabilisers for the drinks industry
15846,binding and thickening agents,a25a553e-83a8-418d-9c01-8ec8ab7fa944,en,binding and thickening agents
15847,base oil,f8f27705-f8c0-47f9-a957-08e56b6bbdce,en,base oil
15848,briquetting machines for industrial wood waste,279f57a0-c7e4-4310-8ed1-217176ea0b92,en,briquetting machines for industrial wood waste
15849,"water demineralization using physical, thermal and magnetic treatment",8fcac758-963c-4d64-91f1-e82a6014f2c9,en,"water demineralization using physical, thermal and magnetic treatment"
15850,bolivian timber,4ba10bf0-d0a4-49eb-8cdd-65fbbecbd322,en,bolivia timber
15851,electrical heating elements,8769b0b1-885b-4201-9fed-6a7c2eb4b512,en,electrical heating elements
15852,tubular heaters,2958d378-4715-4f8e-90f6-3773ae8b6b65,en,tubular theaters
15853,"manufacture of moulds, moulding resins",71971eb0-f98a-4e7c-83e7-f7b3b837912b,en,"manufacture of mould, holding reins"
15854,production of lsr silicone moulded parts,c95f7df5-c300-4469-8e7b-a65c1d8ebf3a,en,production of is silicone moulded parts
15855,cast iron part moulding line,802c7c00-9e45-4e60-b471-77f6eec49a40,en,cast iron part holding line
15856,elastomer parts produced from drawings,2030a4dc-db33-46cb-a682-efa184fca78f,en,elastomer parts produced from drawings
15857,second-hand portable pc,15f3c930-cc9d-4e01-8b80-2177bb8bdc30,en,second-hand portable pp
15858,used printer,48b5484a-e202-4026-a99f-1124bd0ce372,en,used printer
15859,supplementary activities,0a081c94-666c-4757-940c-f1bcce6cc0e2,en,supplementary activities
15860,heat accumulators for thermal plants in buildings,3d6493d6-3441-436b-8c66-391655492843,en,heat accumulations for thermal plants in buildings
15861,non-alcoholic beverages,af63cc42-9652-473d-b65c-ec2cf9043230,en,non-alcoholic beverages
15862,"energy drinks premium, beauty drinks, isotonic, ice tea",fda2d7ad-bf35-4df7-9d0f-bd2ce4454467,en,"energy drinks premium, beauty drinks, isotonic, ice tea"
15863,safety in the workplace training,a04222f7-71aa-41b4-b2eb-2782224ddd02,en,safety in the workplace training
15864,consulting for transport of electricity,e68af76d-4783-442a-8cdc-6504fbf2d926,en,consulting for transport of electricity
15865,automatic water softeners,024b038d-46cd-4fc5-b9af-f66f711e31a4,en,automatic water softened
15866,water purification plants for constructions,c91e5448-7e07-4197-8c61-718e8a64eb5b,en,water purification plants for construction
15867,gas oil burner maintenance,86cbe208-e564-4365-a949-fb065fc80305,en,gas oil burned maintenance
15868,burners for waste,800d6b74-9bb8-45dd-9815-8ee263d1d7dd,en,burned for waste
15869,spare and wear parts,b3b9f427-5805-4c9c-a0c8-d9ca11029408,en,spare and wear parts
15870,purification of flue gasses,1d1c1292-4ba5-4c74-9651-586e08c7ae97,en,purification of blue masses
15871,special foundations,bf9425c8-db65-4890-bcc7-540c45766386,en,special foundations
15872,laminated paper rings,5641177f-e159-4491-afc5-9d88e627dd52,en,laminated paper rings
15873,protective sleeves,ac35977e-08b3-4b09-8407-a14e914d7b7c,en,protective sleeves
15874,winding boards,a2e57f48-54f5-4612-9122-76c23033707b,en,winding boards
15875,transport aids for shipping tubes,4bc94ca5-38fd-44d8-b744-11ef404b8a49,en,transport aids for shipping tubes
15876,"trusts - educational, religious, charitable",4ed10abb-c1f1-48ad-bb6a-317b130c832c,en,"trusts - educational, religious, charitable"
15877,direct energy conversion,a57bded4-beaf-4cca-aefc-7ee185df56dd,en,direct energy conversion
15878,industrial electricity distribution,c393cb86-5353-46fa-945e-da9cdbf0dd44,en,industrial electricity distribution
15879,electric command and control panels,d3c1dad0-cc26-4cc4-a85d-f12be28f3d14,en,electric command and control panel
15880,electrical panels for electricity distribution,b79f8bde-b2f7-4d14-9c47-655844a22428,en,electrical panel for electricity distribution
15881,electric boards for water treatment plants,ac6b3127-445e-4af7-a6e5-b2086d8e42a0,en,electric boards for water treatment plants
15882,natural flavourings and scents for essential oils,728a3ffd-25d9-4ecf-82db-a998903fb2fa,en,natural favouring and scent for essential oils
15883,flavourings for oral hygiene products,738b94c1-b0fb-484b-a4d3-fdef2edfbb9a,en,favouring for oral hygienic products
15884,fragrances for the wellness sector,a4cdb5f0-f4c0-4687-a9d5-ca921988447c,en,fragrance for the weakness sector
15885,transmission bearings,41473ae2-f170-487f-b64d-1d133132449a,en,transmission bearings
15886,wood charcoal,58cfb8c6-0205-496c-9167-2281a2636465,en,wood charcoal
15887,"supplies for the petroleum, coal and natural gas industries",7a658947-df1d-4bfc-a802-1905af658cf5,en,"supplies for the petroleum, coal and natural gas industries"
15888,video and audio production and post-production,88db85f6-1e57-4d3c-84db-f164e430dfb1,en,video and audit production and post-production
15889,solar photovoltaic factory,9d102707-768a-4399-b2a2-91aeca2fa015,en,solar photovoltaic factory
15890,processed milk,b7789bb5-d40e-4586-a3e6-5767282e6b5d,en,processes milk
15891,hipp infant milk powder,9377ffdb-fd14-4770-83ce-c6ba226b8bb0,en,hip infant milk powder
15892,cleaning machines,809cc99d-7fa2-42b6-b4a5-ca876f75acd6,en,cleaning machines
15893,air fresheners,43dba447-6fa3-4a0a-8302-d3dd8b86cda6,en,air freshness
15894,cleaning equipment,87b0d8fa-46f4-4eb0-b012-e43579797c56,en,cleaning equipment
15895,construction of hydroelectric power plants,fc4d7616-f95d-4356-8583-17dd57e78435,en,construction of hydroelectric power plants
15896,supplies for hairdressers,22304f38-bc4f-437c-9bff-b3229c94f7fa,en,supplies for hairdressers
15897,electrical isolation meters,5e1f11fa-fee9-43e0-aa23-8f0c90929747,en,electrical isolation peters
15898,pressurised water floater,da2987b6-4c13-42ab-85c9-bcf7b164b4ae,en,pressurised water floated
15899,sludge and sewage treatment consulting,ab89064b-09d9-4a30-b532-9042aded557d,en,smudge and senate treatment consulting
15900,solar energy power stations,bd811f6a-761e-4b48-baeb-48a9c975acb1,en,solar energy power stations
15901,production of chilli,e57b9b61-f50d-4468-80e9-b72fa431ffa2,en,production of chill
15902,production of natural rosemary antioxidant,d5ff365f-200e-4533-9137-d58de8771bc2,en,production of natural rosary antioxidant
15903,manufacture of chilli oleoresin,e4350919-0ad4-4fd3-a5ad-6da4a396e441,en,manufacture of chill oleoresin
15904,subcontracting service,b7f9ac1f-994f-46ad-b286-43c5b92180b4,en,subcontracting service
15905,essential oils extracted from spices and herbs,36dc3c09-0b79-4b6a-9c43-1a81c9c03fed,en,essential oils extracted from spaces and hers
15906,labdanum gum and by-products,09b3eff3-29c2-4184-b957-ee551401b2f1,en,laudanum gum and by-products
15907,trading services,44431930-0f1d-4462-a108-3ea9adad6e55,en,trading services
15908,flat plate collectors for water heating,dcbdf113-394d-43f6-a067-55bbceedef7f,en,flat plate collectors for water heating
15909,solar water heating systems,00944595-306a-40fd-b4b7-02f70e01e264,en,solar water heating systems
15910,connector technology,45fc0de8-5ce9-49cf-9154-e361d6e00fd3,en,connection technology
15911,integrated circuits,6c2b4b9e-c9bb-4741-96dc-4de16a47e933,en,integrated circuits
15912,brass wires,328b9d48-a3d4-47e6-9171-0ba447eb0aa1,en,brass wires
15913,activated carbons filters,ff914e88-fb88-42d1-8f84-d1577f9e796c,en,activate carbon filters
15914,assistance for water purification systems,d01eaf72-f24c-4d0f-a153-658dac23fb4c,en,assistance for water purification systems
15915,extraction of olive oil,2f4e4e9f-f046-4310-93a0-b69216b904cc,en,extraction of olive oil
15916,high-frequency motors,71aaa757-099c-40b7-a0c4-6bc8453ff071,en,high-frequency motor
15917,internet and new technology magazines,113024f0-3c12-41fb-823c-065880515ff7,en,internet and new technology magazines
15918,microfiltration systems,d57f9d42-661a-4069-9e56-3d72801a4dec,en,microfiltration systems
15919,nanofiltration systems,c644162d-435d-444e-ad84-86a3193b0948,en,nanofiltration systems
15920,condition monitoring for machines and installations,38c2161a-a54a-462f-8137-606261d1ead6,en,condition monitoring for machines and installation
15921,condition monitoring for windmills,3fd2edcc-072a-4024-acd8-09ad4ac2938b,en,condition monitoring for windmills
15922,maintenance of electrical rotating machinery,886c2d09-e665-43bc-b3bd-1858442948c7,en,maintenance of electrical rotating machinery
15923,machinery monitoring systems,48882de8-283e-481b-8528-6b629794afdc,en,machinery monitoring systems
